Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,0.9300107955932617,0.8643574380874633,59.65625,59.625
2,0.8508275604248047,0.8244436311721802,60.125,60.625
3,0.8108659362792969,0.7909904503822327,62.9375,62.875
4,0.7777865695953369,0.7654955744743347,65.59375,65.375
5,0.7528351497650146,0.7419188714027405,67.90625,65.75
6,0.7318047523498535,0.7282430744171142,68.625,67.0
7,0.7207782959938049,0.7178918814659119,69.59375,68.25
8,0.7097218656539916,0.717897982597351,69.96875,67.875
9,0.7048316287994385,0.7067101883888245,69.53125,68.625
10,0.6974514758586884,0.7030392146110535,69.875,69.25
11,0.690984902381897,0.7006448554992676,70.28125,69.75
12,0.689624160528183,0.7007174253463745,70.40625,69.875
13,0.685486512184143,0.6978896975517273,70.625,70.0
14,0.6746839368343354,0.696055154800415,71.34375,70.625
15,0.676741646528244,0.6944270920753479,70.53125,69.875
16,0.6717198413610458,0.6943159961700439,70.875,70.25
17,0.6670181512832641,0.6953092455863953,71.15625,70.5
18,0.6622083520889283,0.6941545939445496,71.78125,70.375
19,0.6621113932132721,0.6922308945655823,71.53125,70.0
20,0.6566791749000549,0.7009902262687683,71.75,69.5
21,0.6590670102834701,0.6922789716720581,72.03125,69.0
22,0.654717913866043,0.6935065507888794,71.9375,69.125
23,0.6499139654636383,0.6946141695976258,72.125,70.0
24,0.6491053813695907,0.6939851260185241,72.03125,70.0
