Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1
1,1.0159576924145222,0.955984017252922,53.8125,67.125,0.4566549178521009,0.5569721232911079
2,0.8846567080169916,0.8630984356999397,62.3125,65.125,0.5534054215417311,0.5790720312921649
3,0.8325541994720698,0.8696417790651322,64.4375,64.5,0.5801388995257161,0.5674696387668182
4,0.7783342137560249,0.8762137168645858,66.6875,65.25,0.6073218581537173,0.579699271863451
5,0.7606108302250505,0.8325229170918464,67.75,65.875,0.6166085664576636,0.5802001124673102
6,0.7242204704135656,0.8596999549865723,68.375,67.875,0.6291666666666667,0.5855005144344246
7,0.7233539413660764,0.8533474710583687,69.375,60.75,0.6392431250472602,0.5652805173284738
8,0.679601704031229,0.8210302785038948,71.0625,63.25,0.6586313632517783,0.5816804779919534
9,0.6654446898773313,0.818019897043705,71.71875,64.0,0.6687303452342381,0.5742522025550215
10,0.6339028565958142,0.9447111575305462,72.8125,70.625,0.6733570043285613,0.5895675202342382
11,0.6249419043585658,0.8254524466395378,74.125,62.375,0.6939282014080388,0.5737565626228607
12,0.5969543992355466,0.8537682500481606,75.53125,67.125,0.7116733543355965,0.5939678576382695
13,0.5991474639996887,0.8429413123428822,74.8125,65.25,0.70559224418695,0.5937601660108053
14,0.5649032137170434,0.8889332374930382,75.71875,68.375,0.7141669751536762,0.5930220861255344
15,0.5647985588759183,0.8232774679362774,76.5,63.625,0.7278839559496793,0.581110095517719
16,0.5294335314631462,0.8428755721449852,78.03125,67.25,0.7429650014486003,0.6058947772657449
17,0.5133417578786612,0.8348913292586804,78.71875,66.875,0.7506028627224405,0.5976972624798712
18,0.509342800360173,0.8435297651588917,78.71875,66.875,0.7510072317175712,0.6021972579180034
19,0.47790042096748947,0.9250773671269417,79.90625,66.75,0.7680944216243852,0.5992596592007184
20,0.47266639830544593,0.8589671662449837,79.8125,66.375,0.7643992508641805,0.5960909300360955
21,0.45972721368074415,0.893717426508665,80.75,66.375,0.7785552956029272,0.6051640951613817
22,0.44149620342999696,0.8803446893393994,81.46875,64.5,0.7861580173744652,0.5974625476079568
23,0.4366918625123799,0.9158359962701798,81.125,66.375,0.7838344589697853,0.5975470001520791
24,0.4124836724437773,0.9177585019171238,83.28125,67.625,0.8079200593147507,0.6051820677445127
25,0.3949999377783388,0.9605294862389564,83.75,70.25,0.8143063271778113,0.6039605261757538
