Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,1.0996673727035522,1.09857570208036,49.28125,56.5
2,1.0994006061553956,1.0979179602402906,49.75,56.375
3,1.0975875425338746,1.0973028861559355,49.625,57.0
4,1.0981956696510315,1.0966797058398907,49.0,57.875
5,1.097240972518921,1.0960491253779485,49.34375,58.25
6,1.0956689023971558,1.0954231849083533,51.09375,57.75
7,1.096176028251648,1.0948030765240009,51.78125,58.5
8,1.0944607377052307,1.094171872505775,51.9375,58.25
9,1.0927432441711427,1.0935315168820894,51.90625,58.625
10,1.0931778430938721,1.0929051912747896,53.125,58.5
11,1.0926475930213928,1.0922763439325185,53.28125,59.375
12,1.0924110436439514,1.0916485694738536,53.125,59.375
13,1.0905632877349853,1.0910180807113647,55.34375,60.0
14,1.090022315979004,1.0903722598002508,54.1875,60.375
15,1.0896898818016052,1.0897264022093553,54.4375,61.625
16,1.0901161289215089,1.0890906132184541,55.28125,61.625
17,1.087609224319458,1.0884511654193585,56.0,61.5
18,1.086728208065033,1.0878158165858343,55.96875,62.0
19,1.0863221979141235,1.0871520317517793,56.5625,61.75
20,1.0860999059677123,1.0864986272958608,56.3125,61.75
21,1.0855271649360656,1.0858571712787335,56.78125,62.25
22,1.0848404335975648,1.0852105342424834,57.6875,62.625
23,1.0828124070167542,1.0845464009505053,58.0,62.5
24,1.0819116759300231,1.0838914742836585,58.21875,63.0
25,1.0831238055229186,1.08325562110314,57.53125,62.625
26,1.0814002227783204,1.0825916528701782,57.96875,62.75
27,1.080519151687622,1.0819066854623647,57.75,62.75
28,1.0801078462600708,1.0812219014534583,58.34375,63.125
29,1.07908659696579,1.0805296164292555,59.53125,63.0
30,1.078719835281372,1.0798365336198072,59.84375,63.125
31,1.0782990860939026,1.079168172983023,59.71875,63.5
32,1.0767262363433838,1.0784764473254864,60.78125,63.375
33,1.0755795574188232,1.0777866932062001,60.09375,63.625
34,1.0745645427703858,1.077076242520259,60.25,63.625
35,1.0749969506263732,1.076361555319566,60.0,63.5
36,1.0743299293518067,1.0756524434456458,59.25,63.5
37,1.0727773594856262,1.074944019317627,60.40625,63.625
38,1.0724930024147035,1.074240125142611,60.8125,63.625
39,1.070645170211792,1.0735299403850849,61.375,63.5
40,1.0706130290031433,1.0728247440778291,61.71875,63.625
41,1.0690762972831727,1.072109240752,60.75,63.625
42,1.0692971396446227,1.071397222005404,61.3125,63.5
43,1.0661793041229248,1.0706431682293231,62.09375,63.25
44,1.0661908078193665,1.0698958268532386,61.3125,63.125
45,1.0657018399238587,1.069172345674955,62.21875,63.125
46,1.0642921829223633,1.0684227576622596,62.28125,63.125
47,1.0629488635063171,1.0676815876593957,62.875,63.125
48,1.0634961342811584,1.0669234624275794,62.71875,63.125
49,1.063684847354889,1.0661542415618896,62.0,63.5
50,1.0620633602142333,1.0654099170978253,62.78125,63.625
51,1.0602980637550354,1.0646608884517963,63.34375,63.625
52,1.0614765214920043,1.0639317219073956,62.5625,63.625
53,1.0603214287757874,1.0631876175220196,62.0625,63.625
54,1.059284200668335,1.0624412481601422,62.28125,63.625
55,1.0574503469467162,1.0616894777004535,61.84375,63.625
56,1.0576523208618165,1.0609388534839337,61.03125,63.625
57,1.056409170627594,1.0601742909504817,62.59375,63.5
58,1.0549225759506227,1.059411461536701,62.4375,63.25
59,1.0535458946228027,1.0586758852005005,62.3125,62.625
60,1.0529544353485107,1.0579465994468102,61.90625,62.5
61,1.051958155632019,1.0572030360882099,62.53125,62.625
62,1.0514851903915405,1.0564300463749812,62.71875,62.375
63,1.0508566319942474,1.055657955316397,62.5,62.125
64,1.049430389404297,1.0548851123222938,62.25,62.375
65,1.0499386620521545,1.0541294721456675,61.5625,62.25
66,1.0474987816810608,1.0533853952701275,62.28125,62.25
67,1.047834930419922,1.052659300657419,61.96875,62.125
68,1.0453336572647094,1.051921165906466,62.625,62.25
69,1.0441538643836976,1.0511742921975942,61.15625,62.25
70,1.0433042120933533,1.0503990375078642,61.78125,62.125
71,1.0424727511405945,1.0495816744290865,62.96875,62.25
72,1.0427907288074494,1.0488002025164092,61.9375,62.25
73,1.041412332057953,1.0479940451108491,61.4375,62.25
74,1.0417485046386719,1.0472059708375197,62.15625,62.0
75,1.0385177528858185,1.0463984654499934,62.3125,61.875
76,1.039865380525589,1.0455956275646503,61.75,61.875
77,1.0374240970611572,1.0448182912973256,62.8125,61.875
78,1.0376514649391175,1.0440377730589647,62.84375,61.875
79,1.0364426851272583,1.0432640130703266,61.96875,61.5
80,1.0355066025257111,1.0425233428294842,62.71875,61.625
81,1.0329457235336303,1.0417474737534156,62.625,61.75
82,1.034197862148285,1.040971109500298,62.65625,61.625
83,1.0330790925025939,1.0401846124575689,62.75,61.625
84,1.0312529850006102,1.039411737368657,62.03125,61.625
85,1.0292518877983092,1.0386122740232027,63.09375,61.75
86,1.0292023074626924,1.0378182026056142,63.34375,61.5
87,1.028555039167404,1.0370051127213697,62.40625,61.375
88,1.0255405592918396,1.036208152770996,63.3125,61.5
89,1.0265407061576843,1.0354105096596937,62.1875,61.5
90,1.0261754620075225,1.034637817969689,61.90625,61.5
91,1.026117115020752,1.0338530402917128,61.625,61.625
92,1.0245567178726196,1.0330806282850413,62.625,61.625
93,1.0234150981903076,1.0323147957141583,61.96875,61.625
94,1.023146116733551,1.0315585824159474,61.5625,61.625
95,1.0217476081848145,1.030798160112821,62.5,61.625
96,1.0200872147083282,1.0300128001433153,61.75,61.625
97,1.0201861429214478,1.0292305304453924,62.5625,61.5
98,1.0188072633743286,1.0284497692034795,62.71875,61.375
99,1.0191472566127777,1.0276516721798823,62.21875,61.375
100,1.0187909841537475,1.0268531808486352,62.03125,61.125
101,1.0153635025024415,1.0260587151233966,62.1875,61.125
102,1.0154791831970216,1.0252514206446135,62.875,61.25
103,1.016997103691101,1.024484932422638,62.125,61.25
104,1.0133093464374543,1.0237113237380981,62.6875,61.25
105,1.0145392763614653,1.022936394581428,63.65625,61.125
106,1.012185252904892,1.022196114063263,62.59375,61.0
107,1.0099299943447113,1.0214292727983916,63.0625,60.875
108,1.0091183876991272,1.0206332160876348,63.9375,60.875
109,1.0075287210941315,1.0198332529801588,62.46875,60.875
110,1.0077034330368042,1.0190782638696523,62.5625,60.75
111,1.0071316576004028,1.0183111016566937,63.375,61.0
112,1.0068085372447968,1.0175457367530236,62.6875,61.0
113,1.0053223323822023,1.016769867676955,62.59375,60.875
114,1.0043811011314392,1.0159673690795898,63.125,61.0
115,1.0020146214962005,1.015167969923753,62.625,60.75
116,1.0038408863544463,1.0143809822889476,62.5625,60.5
117,1.0017940258979798,1.013587433558244,62.9375,60.5
118,1.0017807483673096,1.012796204823714,62.375,60.625
119,1.0004578566551208,1.0120493953044598,62.15625,60.75
120,1.0000207865238189,1.0112833655797517,62.03125,60.875
